tier,web_suspicion,db_score,id,slug,name,city,country,source,website,top_hits,db_reasons
"A","6","8","3d1111e3-6254-4bdc-bed5-b972930dac35","beyond-sushi-new-york","Beyond Sushi","New York","United States","openstreetmap","https://beyondsushi.com/","salmon:14,chicken:12,tuna:10,crab:7,pork:3,beef:3","osm-source|name-no-vegan-keyword|name-animal-keyword|high-volume-city"
"A","6","8","63fb8c51-3df0-4db5-b6f7-d9d864852a69","lohninger-frankfurt-am-main","Lohninger","Frankfurt am Main","Germany","osm-import-2026-04","https://lohninger.de/","tuna:5,salmon:4,fisch:3,beef:2,cod:2,lachs:2","osm-source|name-no-vegan-keyword|no-phone|no-image|high-volume-city"
"A","6","7","058384e4-03db-4926-8706-43ce4d0da935","montague-gyros-worthing","Montague Gyros","Worthing","United Kingdom","osm-import-2026-04","https://www.montaguegyros.co.uk/","chicken:9,pork:7,lamb:6,beef:4,sausage:3,fish:1","osm-source|name-no-vegan-keyword|no-hours|no-phone"
"A","6","7","bed201bd-223a-4332-bb53-c66413a1d66e","where-the-pancakes-are-greater-london","where the pancakes are","London","United Kingdom","osm-import-2026-04","https://www.wherethepancakesare.com/","bacon:7,chicken:6,beef:2,salmon:2,pork:1","osm-source|name-no-vegan-keyword|no-phone|high-volume-city"
"A","6","6","1386cdc0-b4f9-40ed-98bb-0096589ca4af","royal-india-augsburg","Royal India","Augsburg","Germany","osm-import-2026-04","https://www.royal-india-augsburg-augsburg.de/","chicken:38,ente:24,lamm:19,fisch:13,hähnchen:2,fish:1","osm-source|name-no-vegan-keyword|no-image"
"A","6","6","2edf85db-ac60-4917-940f-5f59abcf76c1","secret-garden-vegan-sushi-munich","Secret Garden Vegan Sushi","Munich","Germany","openstreetmap","https://secretgarden-muenchen.com","tuna:5,ente:4,oyster:3,fisch:2,duck:1","osm-source|name-animal-keyword|high-volume-city"
"A","6","6","4e28704f-95e6-41dc-8b8b-b08d3de4a940","the-grain-cafe-redondo-beach","The Grain Cafe","Redondo Beach","United States","openstreetmap","https://elgraincafe.com/","chicken:22,bacon:9,sausage:7,tuna:6,chorizo:4,pollo:1","osm-source|name-no-vegan-keyword|no-hours"
"A","6","6","93c6d6d0-8224-4bc2-bd6d-c84094d74296","buddha-s-eye-koln","Buddha's Eye","Cologne","Germany","osm-import-2026-04","https://www.buddhaseye.de","chicken:53,pork:32,lamb:13,beef:12,shrimp:8,duck:3","osm-source|name-no-vegan-keyword|high-volume-city"
"A","6","6","b14d5ff5-fbdd-41d5-829e-98a3666db9ad","stannary-kitchen-tremough","Stannary Kitchen","Tremough","United Kingdom","osm-import-2026-04","https://www.fxplus.ac.uk/enjoy/stannary/stannary-restaurant","chicken:16,fish:4,beef:3,prawn:3,bacon:2,pork:1","osm-source|name-no-vegan-keyword|no-phone"
"A","6","6","df814657-d181-404b-be47-26b9df4e0c3c","centrale-potsdam","Centrale","Potsdam","Germany","osm-import-2026-04","https://www.pizzeriacentraleantipasteria.de/","salami:4,pollo:3,schinken:3,tonno:2,thunfisch:2,salsiccia:2","osm-source|name-no-vegan-keyword|no-image"
"A","6","6","f664f08a-60a5-4d08-84ef-db9cfdabe30d","hiroshi-s-poke-seattle","Hiroshi's Poke","Seattle","United States","osm-import-2026-04","http://hiroshis.com","chicken:11,beef:9,shrimp:5,pork:4,oyster:3,salmon:3","osm-source|name-no-vegan-keyword|no-phone"
"A","6","6","f9d9298f-364e-4362-a72a-dc61dd2dd2e9","veggicano-mexico-city","Veggicano","Mexico City","Mexico","openstreetmap","https://veggicano.com.mx","chicken:5,chorizo:4,pollo:4,salchicha:3,jamón:2,pescado:2","osm-source|name-no-vegan-keyword|no-hours"
"A","6","5","1462119e-eeb8-456e-a6ca-702c7e637801","taj-mahal-belfort","Taj Mahal","Belfort","Germany","osm-import-2026-04","http://www.tajmahal90.fr","agneau:36,poulet:32,chicken:18,fish:6,boeuf:5,bœuf:4","osm-source|name-no-vegan-keyword"
"A","6","5","25f4d189-2b86-4d86-85ef-6cb5591525e7","reverie-brooklyn","Reverie","Brooklyn","United States","openstreetmap","https://reveriebrooklyn.com/","salmon:3,tuna:3,beef:2,lamb:2,jamon:2,chicken:2","osm-source|name-no-vegan-keyword"
"A","6","5","575fe920-e6bd-411a-95e1-3a03709bc04e","niko-niko-tei-mainz","Niko Niko Tei","Mainz","Germany","osm-import-2026-04","https://www.nikonikotei.de/","lachs:11,fisch:7,thunfisch:7,tintenfisch:1,garnele:1,tuna:1","osm-source|name-no-vegan-keyword"
"A","6","5","6338ef64-b627-49c4-9ea5-41cc8931c63d","monki-nurnberg","monki","Nürnberg","Germany","osm-import-2026-04","https://www.monkiramen.de","chicken:21,pork:14,salmon:4,fish:4,hähnchen:3,lachs:3","osm-source|name-no-vegan-keyword"
"A","6","5","694162a1-16f3-4e31-b163-4ec3357a5ea3","allington-cafe-chippenham","Allington Cafe","Chippenham","United Kingdom","osm-import-2026-04","https://allingtoncafe.co.uk/","chicken:23,bacon:21,beef:15,sausage:13,ham:9,pork:8","osm-source|name-no-vegan-keyword"
"A","6","5","a06d1177-43df-4be5-9452-40dcc22e2611","fiction-kitchen-raleigh","Fiction Kitchen","Raleigh","United States","vegguide-import-2026-04-17","https://thefictionkitchen.com","chicken:12,bacon:5,oyster:4,pork:2,pepperoni:1,beef:1","vegguide-source|name-no-vegan-keyword|no-hours"
"A","6","5","c7393ae7-e551-4c8c-af2e-d5af2aa34ae1","thuyen-vien-anaheim","Thuyen Vien","Anaheim","United States","vegguide-import-2026-04-17","https://thuyenvien.weebly.com","chicken:12,fish:5,pork:4,beef:4,shrimp:3,duck:2","vegguide-source|name-no-vegan-keyword|no-hours"
"A","6","4","453701c6-43d5-4763-9330-89a9d3e2efd5","anixi-mediterranean-vegan-restaurant-new-york","Anixi Mediterranean Vegan Restaurant","New York","United States","openstreetmap","https://www.anixinyc.com/","lamb:6,beef:4,chicken:3,oyster:2,tuna:2,turkey:1","osm-source|high-volume-city"
"A","6","4","75d71bd4-9832-4023-92f9-bc4f6b4ea370","planta-cocina","Planta Cocina","","United States","openstreetmap","https://www.plantarestaurants.com/location/planta-cocina-marina-del-rey/","bacon:13,salmon:6,tuna:4,chorizo:4,beef:2,oyster:1","osm-source|high-volume-city"
"A","6","4","96d7317b-e9e4-4168-99a5-059bddf65fe3","sentir-vegan-mexican-restaurant-new-york","Sentir Vegan Mexican Restaurant","New York","United States","openstreetmap","https://sentirnyc.com/","chicken:6,chorizo:4,salmon:3,oyster:2,beef:2,pescado:1","osm-source|high-volume-city"
"A","6","4","ace26a87-d4b4-48d5-a017-ea98d983de0e","coletta-italian-vegan-restaurant-new-york","Coletta Italian Vegan Restaurant","New York","United States","openstreetmap","https://www.colettanyc.com","sausage:5,salmon:5,pepperoni:3,pork:3,chicken:1,beef:1","osm-source|high-volume-city"
