target_city,id,name,city,country,source,address
"Hamburg","d501bef2-044c-4280-b260-bf014a1d7665","Lá Vegan","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","183c4444-3084-419a-afbc-08bdc40b46c5","Tekin","Hamburg","Germany","osm-import-2026-04","761 Fuhlsbüttler Straße"
"Hamburg","7f38a429-7ef0-444f-9a77-34cee2d247b1","Verlan Cafe","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","2cda32f4-a52f-4701-99fb-9a53b0742d30","Futur III","Hamburg","Germany","osm-import-2026-04","Grabenstraße"
"Hamburg","d27116ce-3fbc-4920-8d39-c00a75991494","blanco","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","e9a8754c-03ed-4370-8e87-d30737f3eaff","GO Cafeteria","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","20ac0a7d-8b37-47c1-84d7-1b1b3a07c9cf","Zuckerschnute","Hamburg","Germany","osm-import-2026-04","75 Grindelberg"
"Hamburg","adc4a3c1-9d4b-4427-adca-a7d7d2f7ab7e","Mert Grill","Hamburg","Germany","osm-import-2026-04","323 Bramfelder Chaussee"
"Hamburg","08ccc529-7c43-4a21-b74d-1c447c808c31","bok","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","07c600c8-ee74-408c-ad91-9d68fcaabbaa","CKT'S","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","88f3fada-b063-47b2-8634-0de6ea5e9f79","sour kitchen","Hamburg","Germany","openstreetmap","59 Mühlenkamp, Hamburg, 22303, Germany"
"Hamburg","13b87f84-2c87-4428-9f33-c8c2de437130","My Kebap's","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","9dc8d5be-7388-4952-81aa-1bbcd16ae83b","Café Näscherei","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","a11f377e-7edd-43df-8521-e8230a6a4351","Balat Imbiss","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","2f9b5a5a-4dab-489b-a69c-e0f7600ebcbc","Vincent Vegan","Hamburg","Germany","openstreetmap","40 Ballindamm, Hamburg, 20095, Deutschland"
"Hamburg","b7d65500-d0cd-4435-ae21-31be4f4118e6","Salli’s","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","0dfcfc76-8d8c-4f20-8386-9375d99bdca3","Manos Vegan Cake","Hamburg","Germany","openstreetmap","43 Hohenesch, Hamburg, 22765, Germany"
"Hamburg","c4700934-5dba-4f7d-94f8-cb949d95304e","La Famille","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","5255b147-1c73-4456-a989-3470364f1400","burgerme","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","cfb22c5f-5956-4b45-8c80-1fe4c5020bff","Sushi Supply","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","bae987c7-88fd-48ad-9c5a-06d39ac17cde","Çiğköftem","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","11f688df-4951-46d5-bc4d-1ecfdbdf66f4","Oehlers Eispatisserie","Hamburg","Germany","osm-import-2026-04","161 Eppendorfer Weg"
"Hamburg","5f159e6b-75d1-43c4-9b6f-8a7925f35684","Pasteleria Cristal","Hamburg","Germany","osm-import-2026-04","4 Reimarusstraße"
"Hamburg","dc6a1352-0a2b-4061-bdca-805136ea6bef","Asia Imbiss Kim","Hamburg","Germany","osm-import-2026-04","78 Hein-Hoyer-Straße"
"Hamburg","b635a978-6c0d-4286-b12b-e707db5d469a","Sira","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","a8e10a62-3b5d-432d-bcb7-351c6fdf775a","Las Heras 747","Hamburg","Germany","osm-import-2026-04","29 Talstraße"
"Hamburg","1672d062-eacb-4287-af61-4a6551cb5336","Eisige Liebe","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","80e3c98c-3ef5-455c-9b40-8aab8bc929e1","Eisige Liebe","Hamburg","Germany","osm-import-2026-04","19 Am Kaiserkai"
"Hamburg","e6c72c2a-a7d5-43da-b1d8-78b655b4fbee","Sahha","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","d595df1b-da8e-40bf-af94-d55b0faa0ad1","Tadim Urfa","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","643dfd56-1fac-40f9-8ba9-19476ab31312","Café Bom Dia","Hamburg","Germany","osm-import-2026-04","Deichhausweg"
"Hamburg","42b50d46-666e-4692-b803-0e6740138c5a","Buns Streetfood","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","4951b05a-9c23-4f70-844b-270c91b36fb4","Eiscafe Kaifu","Hamburg","Germany","osm-import-2026-04","51 Bismarckstraße"
"Hamburg","503e8765-1e62-4928-b6ce-434b3bcfaa59","Röllchen","Hamburg","Germany","openstreetmap","33 Juliusstraße, Hamburg, 22769, Germany"
"Hamburg","69ac0d9c-abdc-4fc6-9b67-bdbe92d5e7fd","Pizza Al Taglio","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","c9d97b12-3539-4a65-939f-1bd677a850d2","Copacabana Coffee","Hamburg","Germany","osm-import-2026-04","19 Emilienstraße"
"Hamburg","7e2f3a7d-e4b2-461b-ad49-b2352de659d6","Eppendorfer Hähnchengrill","Hamburg","Germany","osm-import-2026-04","137 Geschwister-Scholl-Straße"
"Hamburg","108cc788-4217-441a-8a3d-ac843d3ab18c","Lissi's Leberkäserei","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","1e9a3bd8-97e1-4b18-8b8b-2dc6087cff34","CKT's","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","0e657eb2-650b-4e35-9a97-26e6a16ebf9b","Eispiraten","Hamburg","Germany","osm-import-2026-04","78 Mendelssohnstraße"
"Hamburg","5bf1b743-6e8b-464c-b3da-fcbda52d981f","Elbdöner","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","d5323909-6c59-473d-9357-4513636e3bf1","Eis Pauli","Hamburg","Germany","osm-import-2026-04","37 (links) Wohlwillstraße"
"Hamburg","d8b72162-7b1c-4665-9982-3b2962e9dd03","Döner Point","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","cb6f249e-c233-4d65-a743-8c65b60918c4","The Salli's Kebab","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","f13a72ea-eb01-4651-8aaf-dd6a1ab9757f","Gourmet Station","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","f788e0dd-8d7c-4bec-9d60-42304ff0cfe5","Eis Livotto","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","af113f7b-2664-42d4-af40-cac2f37421af","Eisbande","Hamburg","Germany","osm-import-2026-04","7 Bartelsstraße"
"Hamburg","ff0371b5-c827-49ff-8cd9-959319d2be9a","Eis & innig","Hamburg","Germany","osm-import-2026-04","102 Klosterallee"
"Hamburg","d2479692-76db-4dde-af9b-57addc7ecf47","USUMI","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","fc41c046-3a96-4c4f-8245-1d4302472a04","Asia Box Express","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","5441aead-6b18-4a04-9f53-ebcfb62a42b0","Viet Roots","Hamburg","Germany","osm-import-2026-04",""
"Hamburg","3c74c5b8-af1a-4898-83a5-0114d7ce482c","Cam On","Hamburg","Germany","openstreetmap","73 Eppendorfer Weg, Hamburg, 20259, Germany"
"Hamburg","402db990-5cdc-442b-a851-e36442c0c38e","SoulKebab","Hamburg","Germany","osm-import-2026-04",""
"Leipzig","11a1e569-3549-4d7b-9e0e-02938c8648a5","Berliner Kebab","Leipzig","Germany","osm-import-2026-04","25 Dresdner Straße"
"Leipzig","f7690551-8d1d-4228-99c0-d0b008d72744","Peperoni","Leipzig","Germany","osm-import-2026-04","2a Rosa-Luxemburg-Straße"
"Leipzig","e24327e7-a671-47d7-b829-f86bf1160cca","Eis Oase","Leipzig","Germany","osm-import-2026-04",""
