verdict,id,name,city,vegan_level,osm_id,osm_diet_vegan,website_status,strong_hits,counter_hits,hc_listed,chain_hit,reasoning,slug
SUSPECT,01c08fac-3243-4b87-b6d5-c6e992d83afc,"Stivi Vegan Ink",Liège,fully_vegan,10294762342,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",stivi-vegan-ink-liege
SUSPECT,51d9ab16-d3c7-4e84-824f-935dcb653aa8,"Simone's Kitchen",Antwerp,fully_vegan,13608000901,yes,200,"","",yes,,"OSM diet:vegan="yes" | HappyCow lists as Vegan for this city",simone-s-kitchen-antwerpen
SUSPECT,693d3fac-74e9-4f58-8b3e-15cf85a74fdb,"The Judgy Vegan",Brussels,fully_vegan,2659564164,only,200,"bacon, schnitzel","",yes,,"OSM diet:vegan="only" | Website mentions raw animal flesh: bacon, schnitzel | HappyCow lists as Vegan for this city",the-judgy-vegan-brussels
SUSPECT,387ecfe7-3dec-40ee-afda-448f8836a4b2,"Patatak",Brussels,fully_vegan,7932023506,yes,404,"","",no,,"OSM diet:vegan="yes" | Website unreachable: 404 | Not in HappyCow vegan list for this city",patatak-brussels
CONFIRMED,47c701b6-45bc-45e5-a587-2a12d01029f6,"Lekker GEC",Ghent,fully_vegan,2721915415,only,200,"","",yes,,"OSM diet:vegan="only" | HappyCow lists as Vegan for this city",lekker-gec-gent
CONFIRMED,a4df25d7-a9ab-492a-bbde-f635e7c2ca55,"Kitsune Burgers",Brussels,fully_vegan,4413284007,only,200,"","100% vegan",yes,,"OSM diet:vegan="only" | Website confirms vegan: 100% vegan | HappyCow lists as Vegan for this city",kitsune-burgers-brussels
CONFIRMED,6cee449e-045b-4032-aba2-b56dd474ee7b,"Plant Dragon",Leuven,fully_vegan,10006272717,only,200,"","",no,,"OSM diet:vegan="only" | Not in HappyCow vegan list for this city",plant-dragon-leuven
SUSPECT,6fc06078-1bb6-46ff-a988-c17f66fa7027,"European Vegetarian Union",Brussels,fully_vegan,,,200,"sausage","",no,,"Website mentions raw animal flesh: sausage | Not in HappyCow vegan list for this city",european-vegetarian-union
LIKELY,a241359a-3a31-41f7-9e96-787b8f9b6a54,"De Bonte Hoeve",Sint-Niklaas,fully_vegan,,,fetch failed,"","",no,,"Website unreachable: fetch failed",de-bonte-hoeve
SUSPECT,b45ca136-a6bb-45fb-9ac7-4ae3a4bb76e5,"Natural Corner",Brussels,fully_vegan,3887312688,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",natural-corner-brussels
SUSPECT,78324af6-9175-4d56-8465-0b71c9a0781f,"Studentenresto De Brug",Ghent,fully_vegan,3699071712,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",studentenresto-de-brug-ghent
SUSPECT,eaae534d-5b3f-4fc5-900d-e7798f2bd3ac,"Cantine sans patron",Liège,fully_vegan,13585197192,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",cantine-sans-patron-liege
SUSPECT,2d5ffd8e-635f-4977-8caa-aafa5e6d89e0,"Relax Food",Liège,fully_vegan,11113310150,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",relax-food-liege
LIKELY,4633866d-0bbf-47fc-a158-82e7efa87157,"Gare Maritime Food Market",Brussels,fully_vegan,,,200,"","",no,,"Not in HappyCow vegan list for this city",gare-maritime-food-market-brussels
SUSPECT,9722b96e-be73-4b26-bd9e-4cbe9bc08874,"Steamy Windows",Ghent,fully_vegan,10892813716,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",steamy-windows-ghent
SUSPECT,ebe88c6e-1da1-463e-aa40-4a5160e770ea,"Better than Hungry",Antwerp,fully_vegan,11200625846,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",better-than-hungry-antwerp
SUSPECT,2808eb6f-43d2-459f-9eb5-aa749147be81,"Spread the Moon",Brussels,fully_vegan,11016676249,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",spread-the-moon-brussels
SUSPECT,6238cda2-576c-41b3-bb72-10cc04e4e18e,"My Tannour",Etterbeek,fully_vegan,11035866115,yes,200,"","",no,,"OSM diet:vegan="yes"",my-tannour-etterbeek
SUSPECT,7a5515b2-fd07-4160-be8c-e7de594666a9,"Frituur Blijde Inkom",Hasselt,fully_vegan,5609486073,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",frituur-blijde-inkom-hasselt
SUSPECT,8436ec17-a697-46f0-818c-efb2e0be2792,"VUB-restaurant",Ixelles,fully_vegan,12168695097,yes,200,"","",no,,"OSM diet:vegan="yes"",vub-restaurant-ixelles
SUSPECT,1165c5f1-419e-490e-9560-18571a8efe5f,"De Plaats",Bruges,fully_vegan,5418821819,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",de-plaats-bruges
SUSPECT,1488a567-4020-41ea-8f8c-a73e5d0dd447,"VEST by Harry en Rika",Ghent,fully_vegan,12186840512,yes,200,"","",no,,"OSM diet:vegan="yes" | Not in HappyCow vegan list for this city",vest-by-harry-en-rika-ghent
SUSPECT,4b2cbc49-d1ac-4e05-b710-6b8bd3dd236f,"Bio Bowls",Saint-Gilles,fully_vegan,11964931043,yes,200,"","",no,,"OSM diet:vegan="yes"",bio-bowls-saint-gilles
SUSPECT,7170d4a2-ca97-4521-bcdc-d6b2de9414c7,"Trium Trattoria",Bruges,fully_vegan,2379296838,yes,The operation was aborted due to timeout,"","",no,,"OSM diet:vegan="yes" | Website unreachable: The operation was aborted due to timeout | Not in HappyCow vegan list for this city",trium-trattoria-bruges
SUSPECT,b4fa46a2-56c6-4a01-8748-67e257e448c0,"Passion for Food",Bruges,fully_vegan,11240859909,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",passion-for-food-bruges
SUSPECT,6427a424-de42-4bc6-b4a0-5a108c03ac6a,"Atelier TiPi",Ixelles,fully_vegan,10012293732,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",atelier-tipi-ixelles
SUSPECT,1cc1fd6c-7354-466d-8668-f953fe0f96ca,"Huimian",Ixelles,fully_vegan,6284575332,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",huimian-ixelles
SUSPECT,b1c5c7bd-7f88-4518-9b50-c6a18b14e4f1,"Ellis",Bruges,fully_vegan,1187790220,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",ellis-bruges
SUSPECT,86d70c1e-cb89-4af0-b593-087ef73207b2,"De Brugsche tafel",Bruges,fully_vegan,8960168517,yes,404,"","",no,,"OSM diet:vegan="yes" | Website unreachable: 404 | Not in HappyCow vegan list for this city",de-brugsche-tafel-bruges
SUSPECT,8813387a-2240-4dd4-8642-f61815ce149c,"Yin-Yuan",Evere,fully_vegan,13151987836,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",yin-yuan-evere
SUSPECT,ed0aebdc-d45d-420f-9975-ae25cd115c16,"Wok Up",Brussels,fully_vegan,4318137537,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",wok-up-brussels
SUSPECT,623cbcc5-ad5f-4f75-b961-39a2a123fe35,"Pure Veg India",Brussels,fully_vegan,4564340242,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan | Not in HappyCow vegan list for this city",pure-veg-india-brussels
SUSPECT,67c13563-17c2-476f-9402-65fc96eb9a34,"Les 4 Jeudis",Saint-Josse-ten-Noode,fully_vegan,4895392733,only,200,"turkey","",no,,"OSM diet:vegan="only" | Website mentions raw animal flesh: turkey",les-4-jeudis-saint-josse-ten-noode-sint-joost-ten-node
SUSPECT,31fa22fb-d9fe-46c4-adf4-76613125aa9f,"Kyoto food",Etterbeek,fully_vegan,724221378,yes,fetch failed,"","",no,,"OSM diet:vegan="yes" | Website unreachable: fetch failed",kyoto-food-etterbeek
SUSPECT,2b010fa5-89bb-4b5a-93e5-7801263c2973,"Bassin",Ghent,fully_vegan,7783901382,yes,200,"prosciutto","",no,,"OSM diet:vegan="yes" | Website mentions raw animal flesh: prosciutto | Not in HappyCow vegan list for this city",bassin-ghent
SUSPECT,39b37932-47c8-48c3-907f-a95cccc730b4,"Fasika",Etterbeek,fully_vegan,11219571732,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",fasika-etterbeek
SUSPECT,8bd95b91-b008-4121-a89b-79d277c50d48,"Pizzeria La Regina",Ixelles,fully_vegan,7185348285,yes,200,"","",no,,"OSM diet:vegan="yes"",pizzeria-la-regina-ixelles
SUSPECT,3ecfbf37-3d45-4c5c-a8f4-e183200feaf7,"Také",Mechelen,fully_vegan,6841975288,yes,200,"chicken","",yes,,"OSM diet:vegan="yes" | Website mentions raw animal flesh: chicken | HappyCow lists as Vegan for this city",take-mechelen
SUSPECT,9f91ce66-9738-49b4-8595-eb427e2934b1,"The Wild Lab",Saint-Gilles,fully_vegan,7195165369,yes,404,"","",no,,"OSM diet:vegan="yes" | Website unreachable: 404",the-wild-lab-saint-gilles
SUSPECT,249b8b94-ed48-42cf-b4fd-1e54e84843af,"Cigköfteci Ömer",Schaerbeek,fully_vegan,9651817184,yes,(no website),"","",no,,"OSM diet:vegan="yes" | No website to scan",cigkofteci-omer-schaerbeek
