Place ID,Name,City,Country,Current level,Suggested PlantsPack level,Confidence,Action,Priority,decision,changes_applied,review_reason
6e94acb1-9690-46b8-9e8e-ddb9ea045b79,ALT Stazione del Gusto,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
f5733523-8dc1-458f-815d-e2b52e3db912,Kebhouze,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
abad9d91-a50e-470d-9106-26ff6e1a4694,Kisaki Ramen & Sushi,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
4026ab47-809c-4045-b354-8506319a5374,Origano Trevi,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
01709628-cf3e-465e-89e4-2bb24cf54e6e,Ristorante e Pinseria — Saba Caffe & Cucina,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
10b0a09c-7428-4181-86f3-b1ebc8386c1b,Semola,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
336965e6-0499-433d-adbf-f39298ad0129,Sorelle Giordano,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
45e79a9d-b545-4552-84f3-2fbda60bb28c,Sushi House Roma,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
ae26f8d3-3ff0-4a23-a881-390773af0267,Tonnarello,Rome,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
aed7cb06-f4a2-415e-9b4b-c9cdefdaf82d,Amici di Ponte Vecchio Da Stefano,Florence,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
60768fe8-568d-46f2-8954-bdde8e8ace4b,Berberè,Florence,Italy,Vegan friendly,Vegan options,Medium,Change level / Fix address / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
ab589ce4-15ed-4c14-adff-0f07166f4a04,simBIOsi Pizza,Florence,Italy,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
0ce5852d-6b2f-47cf-841a-288e0364b697,Trattoria Zaza,Florence,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
fbf609b7-fc3f-4a5d-943a-8e30324f59ce,Pickles,Venice,Italy,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
34375bee-67a9-4999-82b7-373f2e263260,Els Porxos,Barcelona,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
0a648c29-0dea-41d1-9ef1-a620daa8b506,La Central,Barcelona,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
a875cb0e-4171-403d-a416-1ba013e1c58b,La Cruskel-la,Barcelona,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
fed69f2f-2d58-4091-a812-e2732feda6c9,Llamber,Barcelona,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
f7a0ddfb-ae20-4062-98ae-ea9eec9d5936,My Way restaurant lounge bar,Barcelona,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
518b6f65-f771-43b0-81d9-c604ff3c8b8d,Pardo de Flores,Barcelona,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
ef1328e3-ef7b-4071-9fd3-c85d21a0a330,Dionisos,Madrid,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
ecbda55e-95d0-4af7-b6e5-dcf70d23dd4b,Hundred,Madrid,Spain,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
0222fa1c-ff3c-4728-8ef9-2c80784933f9,Hundred,Madrid,Spain,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
fd00b57c-7a83-4e9b-abed-c9868540c4da,La nueva troje Chamberi,Madrid,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
93ddd5d0-097a-459f-b761-5ac1cdddce03,Lamucca,Madrid,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
a243f7e7-f9b2-43a6-be8a-c85514fefb20,Lateral,Valencia,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
5a7e8a34-9d38-4472-95ec-ee592599b216,Burger Mel,Santa Cruz de Tenerife,Spain,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
214d08c7-2eae-44f2-b413-8d6538375c24,Cookoomela Grill,Athens,Greece,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
c20388b9-c664-4b07-8c89-710331896531,Flower,Athens,Greece,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
af5c0a99-6426-46ce-b521-cc30c62dd1d3,Goody's Burger House,Athens,Greece,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
84adc828-ea6a-495d-a5e1-f19cc97f4711,Irene's House of Pizza,Athens,Greece,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
5e06df40-4ee3-4e4b-adc5-95294a4a9225,l'artigiano,Athens,Greece,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
b8c65362-8291-4d7f-addc-b11743c2d0d0,l'artigiano,Athens,Greece,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
d82cc69a-df0d-42c1-85de-5b640196d94d,MADPIZZA Alvalade,Lisbon,Portugal,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
836f1dc2-5d1a-411c-8ac5-3572aace0010,Neighbourhood,Lisbon,Portugal,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
997cbea6-90cc-4bf9-ba78-4cd90ef8e103,Unique Sushi Lab,Lisbon,Portugal,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
98af216a-1446-4273-8b0b-fd203531de80,Zahir Kebab,Lisbon,Portugal,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
0edb4c2e-8a4e-4f62-92e5-4a33947b066d,Submarine,Zagreb,Croatia,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
ce3a5037-0b3d-4ee1-81d2-9cda0d6a2336,Kabadayi Burger,Istanbul,Turkey,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
264e8cec-6cae-4231-a6ab-e8ac81d3c47f,Pizza Pieza by Divan,Istanbul,Turkey,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
073b2cf5-e8de-49d4-9169-5ba0edb17f1e,Sosrates - Burger & Snack,Istanbul,Turkey,Vegan friendly,Vegan options,Medium,Change level / Add image,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
da00ba91-153a-46df-8fb4-c68187c39c90,Mersin Class Tantuni Doner,Antalya,Turkey,Vegan friendly,Vegan options,Medium,Change level,P0,apply,vegan_level vegan_friendly -> vegan_options (Medium),
